2019-01-29 16:34:28,612 charges_calc.py:61  DEBUG Logger level set to: DEBUG
2019-01-29 16:34:28,625 charges_calc.py:86  DEBUG Load success: #23, {'product_code': 'PRD14', 'units_rented': 9, 'price_per_day': 20, 'rental_start': '9/13/16', 'rental_end': '11/16/18', 'total_days': 794, 'total_price': 15880, 'sqrt_total_price': 126.01587201618692, 'unit_cost': 1764.4444444444443}
2019-01-29 16:34:28,625 charges_calc.py:86  DEBUG Load success: #24, {'product_code': 'PRD78', 'units_rented': 3, 'price_per_day': 20, 'rental_start': '7/14/17', 'rental_end': '11/25/18', 'total_days': 499, 'total_price': 9980, 'sqrt_total_price': 99.89994994993741, 'unit_cost': 3326.6666666666665}
2019-01-29 16:34:28,626 charges_calc.py:88  ERROR Load failed, non-conforming data: #25, {'product_code': 'PRD28', 'units_rented': 5, 'price_per_day': 26, 'rental_start': '3/2/18', 'rental_end': '5/28/16', 'total_days': -643, 'total_price': -16718}
2019-01-29 16:34:28,626 charges_calc.py:88  ERROR Load failed, non-conforming data: #26, {'product_code': 'PRD40', 'units_rented': 6, 'price_per_day': 24, 'rental_start': '3/27/18', 'rental_end': '4/21/16', 'total_days': -705, 'total_price': -16920}
2019-01-29 16:34:28,626 charges_calc.py:86  DEBUG Load success: #27, {'product_code': 'PRD11', 'units_rented': 2, 'price_per_day': 27, 'rental_start': '3/28/16', 'rental_end': '8/3/16', 'total_days': 128, 'total_price': 3456, 'sqrt_total_price': 58.787753826796276, 'unit_cost': 1728.0}
2019-01-29 16:34:28,626 charges_calc.py:88  ERROR Load failed, non-conforming data: #28, {'product_code': 'PRD63', 'units_rented': 10, 'price_per_day': 17, 'rental_start': '7/6/18', 'rental_end': '5/6/17', 'total_days': -426, 'total_price': -7242}
2019-01-29 16:34:28,626 charges_calc.py:86  DEBUG Load success: #29, {'product_code': 'PRD77', 'units_rented': 5, 'price_per_day': 10, 'rental_start': '9/5/16', 'rental_end': '5/3/18', 'total_days': 605, 'total_price': 6050, 'sqrt_total_price': 77.78174593052023, 'unit_cost': 1210.0}
2019-01-29 16:34:28,626 charges_calc.py:88  ERROR Load failed, non-conforming data: #30, {'product_code': 'PRD43', 'units_rented': 4, 'price_per_day': 31, 'rental_start': '7/1/17', 'rental_end': '4/18/17', 'total_days': -74, 'total_price': -2294}
2019-01-29 16:34:28,627 charges_calc.py:88  ERROR Load failed, non-conforming data: #31, {'product_code': 'PRD51', 'units_rented': 10, 'price_per_day': 27, 'rental_start': '4/18/18', 'rental_end': '4/13/17', 'total_days': -370, 'total_price': -9990}
2019-01-29 16:34:28,627 charges_calc.py:86  DEBUG Load success: #32, {'product_code': 'PRD97', 'units_rented': 9, 'price_per_day': 34, 'rental_start': '7/2/16', 'rental_end': '7/18/16', 'total_days': 16, 'total_price': 544, 'sqrt_total_price': 23.323807579381203, 'unit_cost': 60.44444444444444}
2019-01-29 16:34:28,627 charges_calc.py:86  DEBUG Load success: #33, {'product_code': 'PRD0', 'units_rented': 6, 'price_per_day': 8, 'rental_start': '2/5/17', 'rental_end': '3/28/17', 'total_days': 51, 'total_price': 408, 'sqrt_total_price': 20.199009876724155, 'unit_cost': 68.0}
2019-01-29 16:34:28,627 charges_calc.py:88  ERROR Load failed, non-conforming data: #34, {'product_code': 'PRD72', 'units_rented': 9, 'price_per_day': 36, 'rental_start': '10/11/17', 'rental_end': '4/3/16', 'total_days': -556, 'total_price': -20016}
2019-01-29 16:34:28,627 charges_calc.py:86  DEBUG Load success: #35, {'product_code': 'PRD19', 'units_rented': 7, 'price_per_day': 20, 'rental_start': '9/15/16', 'rental_end': '11/4/17', 'total_days': 415, 'total_price': 8300, 'sqrt_total_price': 91.10433579144299, 'unit_cost': 1185.7142857142858}
2019-01-29 16:34:28,627 charges_calc.py:86  DEBUG Load success: #36, {'product_code': 'PRD94', 'units_rented': 2, 'price_per_day': 14, 'rental_start': '10/16/17', 'rental_end': '1/9/18', 'total_days': 85, 'total_price': 1190, 'sqrt_total_price': 34.49637662132068, 'unit_cost': 595.0}
2019-01-29 16:34:28,627 charges_calc.py:86  DEBUG Load success: #37, {'product_code': 'PRD6', 'units_rented': 8, 'price_per_day': 7, 'rental_start': '3/20/18', 'rental_end': '9/13/18', 'total_days': 177, 'total_price': 1239, 'sqrt_total_price': 35.199431813596085, 'unit_cost': 154.875}
2019-01-29 16:34:28,628 charges_calc.py:86  DEBUG Load success: #38, {'product_code': 'PRD5', 'units_rented': 4, 'price_per_day': 18, 'rental_start': '2/16/17', 'rental_end': '6/24/17', 'total_days': 128, 'total_price': 2304, 'sqrt_total_price': 48.0, 'unit_cost': 576.0}
2019-01-29 16:34:28,628 charges_calc.py:86  DEBUG Load success: #39, {'product_code': 'PRD61', 'units_rented': 1, 'price_per_day': 17, 'rental_start': '7/24/16', 'rental_end': '7/24/16', 'total_days': 0, 'total_price': 0, 'sqrt_total_price': 0.0, 'unit_cost': 0.0}
2019-01-29 16:34:28,628 charges_calc.py:88  ERROR Load failed, non-conforming data: #40, {'product_code': 'PRD51', 'units_rented': 1, 'price_per_day': 23, 'rental_start': '12/1/17', 'rental_end': '12/30/16', 'total_days': -336, 'total_price': -7728}
2019-01-29 16:34:28,628 charges_calc.py:88  ERROR Load failed, non-conforming data: #41, {'product_code': 'PRD59', 'units_rented': 4, 'price_per_day': 14, 'rental_start': '2/19/18', 'rental_end': '3/30/17', 'total_days': -326, 'total_price': -4564}
2019-01-29 16:34:28,628 charges_calc.py:86  DEBUG Load success: #42, {'product_code': 'PRD18', 'units_rented': 10, 'price_per_day': 11, 'rental_start': '7/27/17', 'rental_end': '10/19/17', 'total_days': 84, 'total_price': 924, 'sqrt_total_price': 30.397368307141328, 'unit_cost': 92.4}
2019-01-29 16:34:28,628 charges_calc.py:86  DEBUG Load success: #43, {'product_code': 'PRD68', 'units_rented': 2, 'price_per_day': 27, 'rental_start': '4/9/17', 'rental_end': '7/5/18', 'total_days': 452, 'total_price': 12204, 'sqrt_total_price': 110.47171583713181, 'unit_cost': 6102.0}
2019-01-29 16:34:28,628 charges_calc.py:88  ERROR Load failed, non-conforming data: #44, {'product_code': 'PRD43', 'units_rented': 1, 'price_per_day': 15, 'rental_start': '9/4/18', 'rental_end': '12/19/16', 'total_days': -624, 'total_price': -9360}
2019-01-29 16:34:28,629 charges_calc.py:88  ERROR Load failed, non-conforming data: #45, {'product_code': 'PRD62', 'units_rented': 3, 'price_per_day': 33, 'rental_start': '12/19/18', 'rental_end': '11/12/18', 'total_days': -37, 'total_price': -1221}
2019-01-29 16:34:28,629 charges_calc.py:88  ERROR Load failed, non-conforming data: #46, {'product_code': 'PRD46', 'units_rented': 5, 'price_per_day': 34, 'rental_start': '10/15/18', 'rental_end': '1/8/18', 'total_days': -280, 'total_price': -9520}
2019-01-29 16:34:28,629 charges_calc.py:88  ERROR Load failed, non-conforming data: #47, {'product_code': 'PRD52', 'units_rented': 2, 'price_per_day': 12, 'rental_start': '8/3/18', 'rental_end': '6/24/16', 'total_days': -770, 'total_price': -9240}
2019-01-29 16:34:28,629 charges_calc.py:88  ERROR Load failed, non-conforming data: #48, {'product_code': 'PRD32', 'units_rented': 5, 'price_per_day': 36, 'rental_start': '9/5/17', 'rental_end': '10/28/16', 'total_days': -312, 'total_price': -11232}
2019-01-29 16:34:28,629 charges_calc.py:86  DEBUG Load success: #49, {'product_code': 'PRD77', 'units_rented': 4, 'price_per_day': 14, 'rental_start': '1/9/18', 'rental_end': '3/14/18', 'total_days': 64, 'total_price': 896, 'sqrt_total_price': 29.93325909419153, 'unit_cost': 224.0}
2019-01-29 16:34:28,630 charges_calc.py:88  ERROR Load failed, non-conforming data: #50, {'product_code': 'PRD6', 'units_rented': 8, 'price_per_day': 34, 'rental_start': '12/6/18', 'rental_end': '6/30/17', 'total_days': -524, 'total_price': -17816}
2019-01-29 16:34:28,630 charges_calc.py:86  DEBUG Load success: #51, {'product_code': 'PRD45', 'units_rented': 6, 'price_per_day': 33, 'rental_start': '2/18/16', 'rental_end': '7/19/17', 'total_days': 517, 'total_price': 17061, 'sqrt_total_price': 130.61776295741709, 'unit_cost': 2843.5}
2019-01-29 16:34:28,630 charges_calc.py:86  DEBUG Load success: #52, {'product_code': 'PRD53', 'units_rented': 7, 'price_per_day': 9, 'rental_start': '10/30/16', 'rental_end': '3/13/17', 'total_days': 134, 'total_price': 1206, 'sqrt_total_price': 34.72751070837067, 'unit_cost': 172.28571428571428}
2019-01-29 16:34:28,630 charges_calc.py:86  DEBUG Load success: #53, {'product_code': 'PRD17', 'units_rented': 7, 'price_per_day': 10, 'rental_start': '12/12/16', 'rental_end': '9/20/17', 'total_days': 282, 'total_price': 2820, 'sqrt_total_price': 53.103672189407014, 'unit_cost': 402.85714285714283}
2019-01-29 16:34:28,631 charges_calc.py:86  DEBUG Load success: #54, {'product_code': 'PRD62', 'units_rented': 1, 'price_per_day': 6, 'rental_start': '12/31/16', 'rental_end': '12/21/17', 'total_days': 355, 'total_price': 2130, 'sqrt_total_price': 46.151923036857305, 'unit_cost': 2130.0}
2019-01-29 16:34:28,634 charges_calc.py:86  DEBUG Load success: #55, {'product_code': 'PRD16', 'units_rented': 6, 'price_per_day': 33, 'rental_start': '2/4/18', 'rental_end': '9/14/18', 'total_days': 222, 'total_price': 7326, 'sqrt_total_price': 85.59205570612264, 'unit_cost': 1221.0}
2019-01-29 16:34:28,634 charges_calc.py:88  ERROR Load failed, non-conforming data: #56, {'product_code': 'PRD43', 'units_rented': 9, 'price_per_day': 40, 'rental_start': '4/12/18', 'rental_end': '2/27/16', 'total_days': -775, 'total_price': -31000}
2019-01-29 16:34:28,637 charges_calc.py:86  DEBUG Load success: #57, {'product_code': 'PRD58', 'units_rented': 4, 'price_per_day': 23, 'rental_start': '9/23/17', 'rental_end': '9/17/18', 'total_days': 359, 'total_price': 8257, 'sqrt_total_price': 90.86803618434813, 'unit_cost': 2064.25}
2019-01-29 16:34:28,652 charges_calc.py:88  ERROR Load failed, non-conforming data: #58, {'product_code': 'PRD35', 'units_rented': 8, 'price_per_day': 28, 'rental_start': '7/14/17', 'rental_end': '1/25/17', 'total_days': -170, 'total_price': -4760}
2019-01-29 16:34:28,657 charges_calc.py:86  DEBUG Load success: #59, {'product_code': 'PRD9', 'units_rented': 8, 'price_per_day': 7, 'rental_start': '3/26/16', 'rental_end': '10/11/16', 'total_days': 199, 'total_price': 1393, 'sqrt_total_price': 37.322915213043046, 'unit_cost': 174.125}
2019-01-29 16:34:28,657 charges_calc.py:88  ERROR Load failed, non-conforming data: #60, {'product_code': 'PRD84', 'units_rented': 8, 'price_per_day': 29, 'rental_start': '2/15/16', 'rental_end': '1/18/16', 'total_days': -28, 'total_price': -812}
2019-01-29 16:34:28,657 charges_calc.py:88  ERROR Load failed, non-conforming data: #61, {'product_code': 'PRD35', 'units_rented': 8, 'price_per_day': 24, 'rental_start': '2/12/18', 'rental_end': '2/28/17', 'total_days': -349, 'total_price': -8376}
2019-01-29 16:34:28,657 charges_calc.py:88  ERROR Load failed, non-conforming data: #62, {'product_code': 'PRD29', 'units_rented': 3, 'price_per_day': 12, 'rental_start': '8/25/18', 'rental_end': '6/3/18', 'total_days': -83, 'total_price': -996}
2019-01-29 16:34:28,658 charges_calc.py:86  DEBUG Load success: #63, {'product_code': 'PRD47', 'units_rented': 4, 'price_per_day': 35, 'rental_start': '1/11/17', 'rental_end': '5/18/18', 'total_days': 492, 'total_price': 17220, 'sqrt_total_price': 131.224997618594, 'unit_cost': 4305.0}
2019-01-29 16:34:28,658 charges_calc.py:86  DEBUG Load success: #64, {'product_code': 'PRD83', 'units_rented': 3, 'price_per_day': 23, 'rental_start': '2/24/17', 'rental_end': '6/28/17', 'total_days': 124, 'total_price': 2852, 'sqrt_total_price': 53.40411969127476, 'unit_cost': 950.6666666666666}
2019-01-29 16:34:28,658 charges_calc.py:88  ERROR Load failed, non-conforming data: #65, {'product_code': 'PRD61', 'units_rented': 1, 'price_per_day': 11, 'rental_start': '10/11/18', 'rental_end': '12/12/16', 'total_days': -668, 'total_price': -7348}
2019-01-29 16:34:28,658 charges_calc.py:86  DEBUG Load success: #66, {'product_code': 'PRD74', 'units_rented': 10, 'price_per_day': 39, 'rental_start': '2/28/16', 'rental_end': '11/12/17', 'total_days': 623, 'total_price': 24297, 'sqrt_total_price': 155.87494987970325, 'unit_cost': 2429.7}
2019-01-29 16:34:28,658 charges_calc.py:88  ERROR Load failed, non-conforming data: #67, {'product_code': 'PRD29', 'units_rented': 5, 'price_per_day': 31, 'rental_start': '1/18/18', 'rental_end': '10/18/17', 'total_days': -92, 'total_price': -2852}
2019-01-29 16:34:28,658 charges_calc.py:86  DEBUG Load success: #68, {'product_code': 'PRD71', 'units_rented': 5, 'price_per_day': 38, 'rental_start': '3/28/16', 'rental_end': '5/20/16', 'total_days': 53, 'total_price': 2014, 'sqrt_total_price': 44.87761134463375, 'unit_cost': 402.8}
2019-01-29 16:34:28,659 charges_calc.py:86  DEBUG Load success: #69, {'product_code': 'PRD38', 'units_rented': 9, 'price_per_day': 27, 'rental_start': '10/21/16', 'rental_end': '2/17/17', 'total_days': 119, 'total_price': 3213, 'sqrt_total_price': 56.68333088307355, 'unit_cost': 357.0}
2019-01-29 16:34:28,659 charges_calc.py:86  DEBUG Load success: #70, {'product_code': 'PRD82', 'units_rented': 3, 'price_per_day': 13, 'rental_start': '10/24/17', 'rental_end': '10/21/18', 'total_days': 362, 'total_price': 4706, 'sqrt_total_price': 68.60029154456998, 'unit_cost': 1568.6666666666667}
2019-01-29 16:34:28,659 charges_calc.py:88  ERROR Load failed, non-conforming data: #71, {'product_code': 'PRD38', 'units_rented': 9, 'price_per_day': 6, 'rental_start': '10/5/16', 'rental_end': '5/25/16', 'total_days': -133, 'total_price': -798}
2019-01-29 16:34:28,659 charges_calc.py:86  DEBUG Load success: #72, {'product_code': 'PRD53', 'units_rented': 8, 'price_per_day': 32, 'rental_start': '10/6/16', 'rental_end': '6/19/18', 'total_days': 621, 'total_price': 19872, 'sqrt_total_price': 140.96808149364875, 'unit_cost': 2484.0}
2019-01-29 16:34:28,659 charges_calc.py:86  DEBUG Load success: #73, {'product_code': 'PRD37', 'units_rented': 3, 'price_per_day': 23, 'rental_start': '4/3/18', 'rental_end': '9/8/18', 'total_days': 158, 'total_price': 3634, 'sqrt_total_price': 60.28266749240614, 'unit_cost': 1211.3333333333333}
2019-01-29 16:34:28,660 charges_calc.py:88  ERROR Load failed, non-conforming data: #74, {'product_code': 'PRD33', 'units_rented': 9, 'price_per_day': 22, 'rental_start': '9/9/17', 'rental_end': '7/14/17', 'total_days': -57, 'total_price': -1254}
2019-01-29 16:34:28,660 charges_calc.py:86  DEBUG Load success: #75, {'product_code': 'PRD2', 'units_rented': 8, 'price_per_day': 25, 'rental_start': '4/25/16', 'rental_end': '11/13/18', 'total_days': 932, 'total_price': 23300, 'sqrt_total_price': 152.64337522473747, 'unit_cost': 2912.5}
2019-01-29 16:34:28,660 charges_calc.py:88  ERROR Load failed, non-conforming data: #76, {'product_code': 'PRD64', 'units_rented': 4, 'price_per_day': 20, 'rental_start': '6/6/18', 'rental_end': '5/12/16', 'total_days': -755, 'total_price': -15100}
2019-01-29 16:34:28,660 charges_calc.py:88  ERROR Load failed, non-conforming data: #77, {'product_code': 'PRD6', 'units_rented': 8, 'price_per_day': 14, 'rental_start': '8/15/18', 'rental_end': '11/19/16', 'total_days': -634, 'total_price': -8876}
2019-01-29 16:34:28,661 charges_calc.py:86  DEBUG Load success: #78, {'product_code': 'PRD72', 'units_rented': 9, 'price_per_day': 14, 'rental_start': '1/6/17', 'rental_end': '11/1/17', 'total_days': 299, 'total_price': 4186, 'sqrt_total_price': 64.69930447848725, 'unit_cost': 465.1111111111111}
2019-01-29 16:34:28,661 charges_calc.py:88  ERROR Load failed, non-conforming data: #79, {'product_code': 'PRD85', 'units_rented': 1, 'price_per_day': 21, 'rental_start': '11/27/18', 'rental_end': '1/27/18', 'total_days': -304, 'total_price': -6384}
2019-01-29 16:34:28,661 charges_calc.py:86  DEBUG Load success: #80, {'product_code': 'PRD8', 'units_rented': 10, 'price_per_day': 21, 'rental_start': '6/27/17', 'rental_end': '4/18/18', 'total_days': 295, 'total_price': 6195, 'sqrt_total_price': 78.70832230456955, 'unit_cost': 619.5}
2019-01-29 16:34:28,662 charges_calc.py:86  DEBUG Load success: #81, {'product_code': 'PRD52', 'units_rented': 7, 'price_per_day': 17, 'rental_start': '2/8/18', 'rental_end': '12/9/18', 'total_days': 304, 'total_price': 5168, 'sqrt_total_price': 71.88880302244571, 'unit_cost': 738.2857142857143}
2019-01-29 16:34:28,662 charges_calc.py:86  DEBUG Load success: #82, {'product_code': 'PRD2', 'units_rented': 2, 'price_per_day': 24, 'rental_start': '10/3/16', 'rental_end': '11/16/17', 'total_days': 409, 'total_price': 9816, 'sqrt_total_price': 99.07572861200669, 'unit_cost': 4908.0}
2019-01-29 16:34:28,662 charges_calc.py:86  DEBUG Load success: #83, {'product_code': 'PRD70', 'units_rented': 1, 'price_per_day': 17, 'rental_start': '9/9/17', 'rental_end': '2/6/18', 'total_days': 150, 'total_price': 2550, 'sqrt_total_price': 50.49752469181039, 'unit_cost': 2550.0}
2019-01-29 16:34:28,662 charges_calc.py:88  ERROR Load failed, non-conforming data: #84, {'product_code': 'PRD75', 'units_rented': 6, 'price_per_day': 16, 'rental_start': '5/13/17', 'rental_end': '4/29/16', 'total_days': -379, 'total_price': -6064}
2019-01-29 16:34:28,662 charges_calc.py:86  DEBUG Load success: #85, {'product_code': 'PRD16', 'units_rented': 6, 'price_per_day': 21, 'rental_start': '2/21/18', 'rental_end': '3/20/18', 'total_days': 27, 'total_price': 567, 'sqrt_total_price': 23.811761799581316, 'unit_cost': 94.5}
2019-01-29 16:34:28,663 charges_calc.py:88  ERROR Load failed, non-conforming data: #86, {'product_code': 'PRD87', 'units_rented': 6, 'price_per_day': 40, 'rental_start': '12/3/18', 'rental_end': '3/20/18', 'total_days': -258, 'total_price': -10320}
2019-01-29 16:34:28,663 charges_calc.py:88  ERROR Load failed, non-conforming data: #87, {'product_code': 'PRD0', 'units_rented': 2, 'price_per_day': 37, 'rental_start': '8/10/16', 'rental_end': '6/18/16', 'total_days': -53, 'total_price': -1961}
2019-01-29 16:34:28,663 charges_calc.py:86  DEBUG Load success: #88, {'product_code': 'PRD84', 'units_rented': 9, 'price_per_day': 20, 'rental_start': '6/9/16', 'rental_end': '2/25/17', 'total_days': 261, 'total_price': 5220, 'sqrt_total_price': 72.24956747275377, 'unit_cost': 580.0}
2019-01-29 16:34:28,663 charges_calc.py:88  ERROR Load failed, non-conforming data: #89, {'product_code': 'PRD58', 'units_rented': 5, 'price_per_day': 20, 'rental_start': '11/5/18', 'rental_end': '8/15/18', 'total_days': -82, 'total_price': -1640}
2019-01-29 16:34:28,663 charges_calc.py:86  DEBUG Load success: #90, {'product_code': 'PRD18', 'units_rented': 10, 'price_per_day': 10, 'rental_start': '1/14/17', 'rental_end': '8/19/18', 'total_days': 582, 'total_price': 5820, 'sqrt_total_price': 76.28892449104261, 'unit_cost': 582.0}
2019-01-29 16:34:28,664 charges_calc.py:86  DEBUG Load success: #91, {'product_code': 'PRD46', 'units_rented': 7, 'price_per_day': 5, 'rental_start': '6/27/17', 'rental_end': '10/25/17', 'total_days': 120, 'total_price': 600, 'sqrt_total_price': 24.49489742783178, 'unit_cost': 85.71428571428571}
2019-01-29 16:34:28,664 charges_calc.py:88  ERROR Load failed, non-conforming data: #92, {'product_code': 'PRD6', 'units_rented': 10, 'price_per_day': 18, 'rental_start': '3/10/17', 'rental_end': '5/23/16', 'total_days': -291, 'total_price': -5238}
2019-01-29 16:34:28,665 charges_calc.py:86  DEBUG Load success: #93, {'product_code': 'PRD64', 'units_rented': 2, 'price_per_day': 33, 'rental_start': '4/2/16', 'rental_end': '11/19/18', 'total_days': 961, 'total_price': 31713, 'sqrt_total_price': 178.0814420426789, 'unit_cost': 15856.5}
2019-01-29 16:34:28,665 charges_calc.py:86  DEBUG Load success: #94, {'product_code': 'PRD28', 'units_rented': 3, 'price_per_day': 19, 'rental_start': '8/22/16', 'rental_end': '8/24/16', 'total_days': 2, 'total_price': 38, 'sqrt_total_price': 6.164414002968976, 'unit_cost': 12.666666666666666}
2019-01-29 16:34:28,666 charges_calc.py:88  ERROR Load failed, non-conforming data: #95, {'product_code': 'PRD83', 'units_rented': 6, 'price_per_day': 6, 'rental_start': '8/5/18', 'rental_end': '7/23/17', 'total_days': -378, 'total_price': -2268}
2019-01-29 16:34:28,667 charges_calc.py:86  DEBUG Load success: #96, {'product_code': 'PRD97', 'units_rented': 1, 'price_per_day': 12, 'rental_start': '2/6/16', 'rental_end': '7/9/16', 'total_days': 154, 'total_price': 1848, 'sqrt_total_price': 42.988370520409354, 'unit_cost': 1848.0}
2019-01-29 16:34:28,667 charges_calc.py:88  ERROR Load failed, non-conforming data: #97, {'product_code': 'PRD36', 'units_rented': 7, 'price_per_day': 29, 'rental_start': '1/11/17', 'rental_end': '8/29/16', 'total_days': -135, 'total_price': -3915}
2019-01-29 16:34:28,667 charges_calc.py:86  DEBUG Load success: #98, {'product_code': 'PRD5', 'units_rented': 7, 'price_per_day': 19, 'rental_start': '1/28/17', 'rental_end': '2/11/18', 'total_days': 379, 'total_price': 7201, 'sqrt_total_price': 84.85870609430714, 'unit_cost': 1028.7142857142858}
2019-01-29 16:34:28,668 charges_calc.py:88  ERROR Load failed, non-conforming data: #99, {'product_code': 'PRD42', 'units_rented': 1, 'price_per_day': 18, 'rental_start': '11/23/18', 'rental_end': '10/21/16', 'total_days': -763, 'total_price': -13734}
